id,name,url,contact,description,geoextent,geocoverage_dirty,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,category,social_uptake,policy_uptake,policy_uptake_explanation,policy_relevance,sdg1,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,sdg9,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17
17,18app e Carta Docente,http://www.sogei.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/1181,,"18app e Carta Docente sono due programmi previsti dalla legge con i quali viene assegnato un bonus economico (€500) a determinate categorie di persone (rispettivamente, tutti i 18enni e i docenti di ruolo) da spendere con specifici vincoli (in cultura e formazione) presso esercenti accreditati.",National,Italy,Italy,Ministero dei Beni e delle Attività Culturali e del Turismo,Governmental,,Yes,,Education,Welfare,API,Very large,N/A,N/A,Policy implementation or monitoring,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,2,2
18,ANPR,https://www.anpr.interno.it/portale/,,"Un'unica anagrafe centrale, raggiungibile anche via API, che mantiene le informazioni aggiornate su residenza, stato di famiglia, e molto altro.",National,Italy,Italy,Ministero dell'Interno,Governmental,,Yes,,General,General,API,Large,N/A,N/A,Policy implementation or monitoring,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,2,2
3,ARPENT(examen),https://ensagri.agriculture.gouv.fr/arpent-examen/apprenant,,ARPENT(examen) facilite les démarches des candidats aux examens de l’enseignement agricole en utilisant les briques interministérielles FranceConnect et Base Adresse Nationale. Les données personnelles sont automatiquement renseignées dans le dossier d’inscription et la saisie de l’adresse simplifiée !,National,France,France,Ministère de l'Agriculture et de l'Alimentation,Governmental,,Yes,,Agriculture,Education,API,Large,N/A,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,2,0
4,ARPENT(résultats),https://ensagri.agriculture.gouv.fr/arpent-resultats/,,"ARPENT(résultats) permet aux candidats aux examens de l’enseignement agricole de connaître leur résultats et d’éditer leur relevé de notes. Grâce à l’API Géo, ARPENT(résultats) vous guide suivant un axe géographique pour retrouver votre établissement scolaire sans être obligé d’utiliser la carte.",National,France,France,Ministère de l'Agriculture et de l'Alimentation,Governmental,,Yes,,Agriculture,Education,API,Large,N/A,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
5,BourseSCO,https://bourse.beta.gouv.fr/,,"Il n’a jamais été aussi simple de réaliser sa demande de bourse en ligne, et sans justificatifs ! Grâce à Bourse Simplifiée, l’usager n’a plus à fournir de justificatifs. Après avoir saisi ses informations, il consent à ce que le personnel en charge dans l’établissement aient accès à son avis d’imposition, et c’est fini ! Côté intendance, un outil simple et ergonomique permet de gérer la complétude des dossiers et la communication usager sans aucun recours au papier. Tout est également archivé est auditable. Les gains de productivité observés vont du simple au triple par rapport au mode de fonctionnement manuel et papier.",National,France,France,Ministère de l'Éducation nationale et de la Jeunesse,Governmental,,No,,Education,Welfare,API,Large,N/A,N/A,Policy implementation or monitoring,0,1,2,2,0,0,0,0,2,0,0,0,0,0,2,2,0
19,Data & Analytics Framework (DAF),https://teamdigitale.governo.it/en/projects/daf.htm,,"The Data & Analytics Framework (DAF) has the goal of improving and simplifying the interoperability and exchange of data between Public Administrations, promoting and improving the management and usage of Open Data, optimizing activities of analysis and knowledge generation.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General,General,Data Analytics,Large,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0
20,dati.gov.it,https://www.dati.gov.it/,,Dati.gov.it e’ il catalogo nazionale dei dati aperti delle pubbliche amministrazioni italiane. Nasce con l’obiettivo di aggregare in un unico portale la maggior parte dei dati aperti esposti dalle varie amministrazioni sia locali che nazionali.,National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General,General,API,Large,N/A,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,0,2,2,0,1,2,0
11,Déchets malins,http://dechets.rennesmetropole.fr/,,"Ce site comporte un guide du tri mis à jour en permanence. Première nationale : une fonction permet, en saisissant son adresse, de connaître les horaires de passage théorique des bennes à 2h près.",Local,France,France,"Rennes, Ville et Metropole",Governmental,,Yes,,Waste,Environment,API,Very large,N/A,N/A,Policy implementation or monitoring,0,1,1,2,0,1,1,0,2,2,0,1,0,0,1,2,2
7,demarches-simplifiees.fr,https://www.demarches-simplifiees.fr/,,demarches-simplifiees.fr est une application entièrement en ligne qui permet à tous les organismes assurant des missions de service public de créer des démarches en quelques minutes et de gérer les demandes des usagers sur une plateforme dédiée.,National,France,France,DINSIC,Governmental,,Yes,,Bureaucracy,Bureaucracy,API,Very large,N/A,N/A,Policy implementation or monitoring,0,0,1,2,0,0,0,0,2,0,2,0,2,0,0,2,0
21,Designers Italia,https://designers.italia.it/,,"Designers Italia è il punto di riferimento per la progettazione dei servizi della Pubblica Amministrazione: linee guida, strumenti, un design system e una community di designer per favorire la collaborazione e promuovere il ruolo dello human-centered design nello sviluppo dei servizi pubblici.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,IT Services,IT Services,API,Very large,N/A,N/A,Policy implementation or monitoring,0,2,2,1,0,0,0,0,2,0,0,0,2,0,1,2,2
22,Develops Italia,https://developers.italia.it/,,"Developers Italia is the community dedicated to the development of Open Source Software to support Italian digital public services. It collects a large amount of libraries and SDK, as well as test environments, code examples and clear documentation aimed at simplifying the integration of the national enabling platforms within digital services.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,IT Services,IT Services,API,Large,N/A,N/A,Policy implementation or monitoring,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,2
23,Docs Italia,https://docs.italia.it/,,"Docs Italia is the tool for publishing technical and legal documents, offering to citizens the ability to read and comment easily",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General,General,API,Considerable,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0
8,Dossier Social Étudiant,https://www.messervices.etudiant.gouv.fr/envole/,,"En utilisant l’API Particulier lors de la demande du DSE, les étudiants n’ont plus à fournir le justificatif d’imposition de leurs parents, il est récupéré directement auprès de la DGFiP.",National,France,France,Ministère de l'Éducation nationale et de la Jeunesse,Governmental,,Yes,,Education,Welfare,API,Very large,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2,2,0
27,E015,https://www.e015.regione.lombardia.it/,,"L'Ecosistema Digitale E015 è una iniziativa promossa da Regione Lombardia insieme con Confindustria, CCIAA di Milano, Confcommercio, Assolombarda e Unione del Commercio, con il coordinamento tecnico-scientifico di Cefriel. Favorisce la creazione di relazioni digitali fra soggetti diversi, sia pubblici che privati, interessati a valorizzare il proprio patrimonio digitale condividendolo o ad arricchire le soluzioni software per i propri utenti con le funzionalità e le informazioni condivise dagli altri partecipanti. La condivisione di funzionalità e informazioni in E015 avviene attraverso la pubblicazione di API, in accordo alle linee guida e con il coordinamento del Technical Management Board",Regional,Italy,Italy,Regione Lombardia,Governmental,,Yes,,IT Services,IT Services,API,Considerable,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0
24,Fatturazione Elettronica,https://www.fatturapa.gov.it/export/fatturazione/,,Un formato XML per descrivere una fattura: scopri come integrarlo nei tuoi software gestionali.,National,Italy,Italy,Agenzia delle Entrate,Governmental,,Yes,,Taxation,Taxation,API,Considerable,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0
2,IFT,https://alim.agriculture.gouv.fr/ift/,,Atelier de calcul de l'Indicateur de Fréquence de Traitements phytopharmaceutiques,National,France,France,Ministère de l'Agriculture et de l'Alimentation,Governmental,,Yes,,Agriculture,Health,API,Large,N/A,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
16,IO,https://developers.italia.it/it/io/,,"io è l’applicazione del Governo italiano che permetterà a tutti i cittadini di usare servizi pubblici nazionali e locali dal proprio smartphone in maniera semplice, moderna e sicura. È un progetto Open Source che crescerà di giorno in giorno, coinvolgendo enti e servizi diversi.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General,General,API,Very large,N/A,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,2,0,2,2,0
6,Lyon : Mon compte,https://www.lyon.fr/demarche/loisirs/calcul-du-quotient-familial-municipal,,"Le calcul du quotient familial municipal sert à obtenir des réductions sur le prix des repas de la cantine scolaire dans les écoles publiques ou privées, sur les tarifs des activités de Divertisport, des Mercredis de Lyon, des Vendredis aprèm et des classes transplantées. Il est déterminé en fonction des revenus et de la composition de la famille.",Local,France,France,Ville de Lyon,Governmental,,Yes,,Taxation,Taxation,API,Very large,N/A,N/A,Policy implementation or monitoring,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,2,0
9,Mes aides,http://mes-aides.gouv.fr/,,"Dans le maquis des aides sociales, c’est à l’usager de déterminer le bon guichet pour connaître ses droits. Grâce à mes-aides, l’usager peut en quelques clics découvrir toutes les aides auxquelles il a droit en décrivant sa situation une seule fois. Le simulateur OpenFisca prend en compte toute la législation fiscale et sociale et permet donc de répondre précisément à la question « à quelles aides ai-je droit ? »",National,France,France,DINSIC,Governmental,,Yes,,Welfare,Welfare,API,Large,N/A,N/A,Policy implementation or monitoring,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,2,2
10,MPS,https://mps.apientreprise.fr/,,"En adoptant MPS, la plateforme de dématérialisation Marchés Sécurisés permet aux entreprises de candidater à un marché public sans remplir de formulaire complexe ni fournir de pièces justificatives. Les entreprises saisisissent leur numéro de SIRET, valident leur consentement à ce que l’acheteur public accède aux attestations sociales ou fiscales, et déposent simplement leur offre.",National,France,France,DINSIC,Governmental,,Yes,,Public Procurement,Public Procurement,API,Large,N/A,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,2,0
1,Nidi gratis,https://www.regione.lombardia.it/wps/portal/istituzionale/HP/DettaglioServizio/servizi-e-informazioni/Cittadini/Persone-casa-famiglia/famiglia-e-minori/nidi-gratis-famiglie-2018-2019,,"A public service, using blockchain technologies, which offers families from deprived backgrounds free access to childcare for children up to the age of 3.",Regional,Italy,Italy,Regione Lombardia,Governmental,,Yes,,Welfare,Childcare,Blockchain,Very large,N/A,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
25,OTELLO 2.0,https://www.adm.gov.it/portale/o.t.e.l.l.o.-2.0,,OTELLO è la piattaforma dell’Agenzia delle Dogane e dei Monopoli che gestisce il processo che consente ai soggetti extra-UE di ottenere lo sgravio diretto o il rimborso dell’IVA sui beni acquistati sul territorio italiano.,National,Italy,Italy,Agenzia delle Dogane e dei Monopoli,Governmental,,Yes,,Taxation,Taxation,API,Considerable,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0
15,pagoPA,https://www.agid.gov.it/it/piattaforme/pagopa,,"pagoPA é un sistema di pagamenti elettronici realizzato per rendere più semplice, sicuro e trasparente qualsiasi pagamento verso la Pubblica Amministrazione.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,Taxation,Taxation,API,Very large,N/A,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
12,RenCircul,http://circulation.rennesmetropole.fr/,,"Actualisés quotidiennement pour tenir compte de l’impact des chantiers sur le territoire de la ville et de l’agglomération de Rennes, RenCircul et le site circulation.rennesmetropole.fr proposent des informations sur les travaux et sur les modifications des conditions de circulation qu’ils génèrent.",Local,France,France,"Rennes, Ville et Metropole",Governmental,,Yes,,Transport,Transport,API,Considerable,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0
13,Simulateur d'embauche,http://embauche.beta.gouv.fr/,,"Un module Web de simulation du coût d’une embauche et du salaire net, à intégrer simplement sur une page Web.",National,France,France,DINSIC,Governmental,,Yes,,Welfare,Welfare,API,Very large,N/A,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
26,SPID,https://www.spid.gov.it/,,"SPID (Sistema Pubblico di Identità Digitale) è la soluzione che permette ai cittadini italiani di accedere a tutti i servizi online della Pubblica Amministrazione con un’unica Identità Digitale utilizzabile da computer, tablet e smartphone. Il cittadino può ottenere SPID tramite i Gestori di Identità (detti Identity Provider); una volta completata la procedura di verifica, che certifica l’identità del richiedente, vengono rilasciate delle credenziali che consentono l’accesso ai Fornitori di Servizi (detti Service Provider).",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General,General,API,Considerable,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0
14,Télépoints,https://permisdeconduire.ants.gouv.fr/Vos-demarches/Le-permis-a-points/Solde-de-vos-points-Via-France-Connect,,"Grâce à FranceConnect, vous pouvez consulter immédiatement votre solde de points sur le portail de l’ANTS.",National,France,France,DINSIC,Governmental,,Yes,,Transport,Transport,API,Large,N/A,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,2,0,2,0,1,2,0
